observation_date,10ystandardised,snpcompositestandardised
1962-01-01,-0.615869368,-0.814075229
1962-02-01,-0.649165603,-0.817009254
1962-03-01,-0.695780333,-0.815745536
1962-04-01,-0.695780333,-0.815668613
1962-05-01,-0.682461839,-0.818130118
1962-06-01,-0.649165603,-0.823690481
1962-07-01,-0.635847109,-0.831778282
1962-08-01,-0.662484097,-0.830305775
1962-09-01,-0.669143344,-0.828602501
1962-10-01,-0.675802591,-0.829173922
1962-11-01,-0.675802591,-0.831184883
1962-12-01,-0.699109956,-0.826932195
1963-01-01,-0.692450709,-0.824075091
1963-02-01,-0.669143344,-0.821415787
1963-03-01,-0.665813721,-0.820470745
1963-04-01,-0.665813721,-0.820745467
1963-05-01,-0.662484097,-0.817349909
1963-06-01,-0.649165603,-0.815833446
1963-07-01,-0.649165603,-0.815866413
1963-08-01,-0.642506356,-0.817009254
1963-09-01,-0.625858238,-0.814910382
1963-10-01,-0.59922125,-0.812855465
1963-11-01,-0.622528615,-0.812657666
1963-12-01,-0.602550874,-0.813108209
1964-01-01,-0.59922125,-0.811404936
1964-02-01,-0.589232379,-0.808899476
1964-03-01,-0.572584262,-0.807866523
1964-04-01,-0.575913885,-0.806317094
1964-05-01,-0.585902756,-0.805064364
1964-06-01,-0.59922125,-0.804207233
1964-07-01,-0.585902756,-0.804734698
1964-08-01,-0.579243509,-0.801460018
1964-09-01,-0.589232379,-0.802800659
1964-10-01,-0.595891626,-0.80125123
1964-11-01,-0.582573132,-0.799668834
1964-12-01,-0.579243509,-0.799020491
1965-01-01,-0.585902756,-0.800646842
1965-02-01,-0.575913885,-0.798273249
1965-03-01,-0.582573132,-0.79758095
1965-04-01,-0.579243509,-0.79749304
1965-05-01,-0.572584262,-0.79624031
1965-06-01,-0.582573132,-0.794800769
1965-07-01,-0.575913885,-0.799460045
1965-08-01,-0.559265767,-0.799602901
1965-09-01,-0.532628779,-0.797866661
1965-10-01,-0.512651038,-0.79469088
1965-11-01,-0.489343673,-0.79248212
1965-12-01,-0.432740073,-0.791646966
1966-01-01,-0.419421579,-0.792108498
1966-02-01,-0.309544002,-0.79036127
1966-03-01,-0.412762332,-0.791053568
1966-04-01,-0.386125343,-0.795240323
1966-05-01,-0.38279572,-0.792251353
1966-06-01,-0.32619212,-0.797547984
1966-07-01,-0.299555131,-0.798339182
1966-08-01,-0.196336801,-0.798580937
1966-09-01,-0.309544002,-0.804284155
1966-10-01,-0.32619212,-0.807404991
1966-11-01,-0.276247766,-0.808152233
1966-12-01,-0.436069696,-0.803910534
1967-01-01,-0.476025179,-0.803536912
1967-02-01,-0.409432708,-0.800108388
1967-03-01,-0.482684426,-0.79691063
1967-04-01,-0.389454967,-0.794646925
1967-05-01,-0.379466096,-0.792954641
1967-06-01,-0.242951531,-0.791163456
1967-07-01,-0.262929272,-0.792438164
1967-08-01,-0.226303413,-0.790701924
1967-09-01,-0.212984919,-0.789075573
1967-10-01,-0.103107342,-0.787625044
1967-11-01,-0.069811107,-0.787789876
1967-12-01,-0.083129601,-0.791086534
1968-01-01,-0.136403578,-0.788185475
1968-02-01,-0.129744331,-0.788471186
1968-03-01,-0.06315186,-0.793185407
1968-04-01,-0.069811107,-0.795009557
1968-05-01,-0.029855624,-0.787778888
1968-06-01,-0.103107342,-0.785361338
1968-07-01,-0.186347931,-0.782471268
1968-08-01,-0.17635906,-0.782691046
1968-09-01,-0.153051695,-0.785097606
1968-10-01,-0.113096213,-0.78159216
1968-11-01,-0.056492613,-0.778844945
1968-12-01,0.070033082,-0.777086727
1969-01-01,0.080021952,-0.775877953
1969-02-01,0.103329317,-0.780822939
1969-03-01,0.116647811,-0.781372382
1969-04-01,0.083351576,-0.783789932
1969-05-01,0.203218023,-0.78159216
1969-06-01,0.259821624,-0.777965836
1969-07-01,0.236514259,-0.783965753
1969-08-01,0.293117859,-0.788833818
1969-09-01,0.51953226,-0.789416228
1969-10-01,0.329743718,-0.789053595
1969-11-01,0.446280542,-0.78794372
1969-12-01,0.642728331,-0.787185489
1970-01-01,0.599443225,-0.792789808
1970-02-01,0.316425224,-0.793668916
1970-03-01,0.376358448,-0.797130407
1970-04-01,0.62275059,-0.795493067
1970-05-01,0.666035696,-0.798460059
1970-06-01,0.57613586,-0.809328041
1970-07-01,0.476247154,-0.809844518
1970-08-01,0.512873013,-0.809701663
1970-09-01,0.446280542,-0.807284114
1970-10-01,0.459599036,-0.802163305
1970-11-01,0.179910659,-0.800196299
1970-12-01,0.183240282,-0.800295199
1971-01-01,0.046725717,-0.793954627
1971-02-01,0.063373835,-0.790174459
1971-03-01,-0.139733201,-0.786196492
1971-04-01,0.043396093,-0.783460266
1971-05-01,0.1432848,-0.779724053
1971-06-01,0.249832753,-0.781262494
1971-07-01,0.299777106,-0.783328399
1971-08-01,0.109988564,-0.784119597
1971-09-01,0.016759105,-0.786053637
1971-10-01,-0.026526001,-0.783680043
1971-11-01,-0.00654826,-0.785998692
1971-12-01,-0.019866754,-0.790954668
1972-01-01,0.046725717,-0.783932787
1972-02-01,0.030077599,-0.779394388
1972-03-01,0.056714588,-0.777306504
1972-04-01,0.063373835,-0.774559289
1972-05-01,0.033407223,-0.773350515
1972-06-01,0.066703458,-0.774559289
1972-07-01,0.056714588,-0.774229624
1972-08-01,0.156603294,-0.775108732
1972-09-01,0.196558776,-0.770932966
1972-10-01,0.15327367,-0.772691183
1972-11-01,0.109988564,-0.772471406
1972-12-01,0.15327367,-0.766427533
1973-01-01,0.196558776,-0.763790207
1973-02-01,0.229855012,-0.76280121
1973-03-01,0.259821624,-0.767416531
1973-04-01,0.249832753,-0.769394525
1973-05-01,0.326414094,-0.771702186
1973-06-01,0.329743718,-0.775108732
1973-07-01,0.492895272,-0.777746059
1973-08-01,0.432962048,-0.776647173
1973-09-01,0.316425224,-0.778844945
1973-10-01,0.253162377,-0.77686695
1973-11-01,0.24650313,-0.772251629
1973-12-01,0.316425224,-0.780822939
1974-01-01,0.349721459,-0.788756896
1974-02-01,0.353051083,-0.787295378
1974-03-01,0.486236024,-0.790218414
1974-04-01,0.569476613,-0.785833859
1974-05-01,0.522861883,-0.791306312
1974-06-01,0.562817366,-0.794372203
1974-07-01,0.646057954,-0.794240337
1974-08-01,0.719309672,-0.805756662
1974-09-01,0.662706072,-0.809361008
1974-10-01,0.612761719,-0.818053196
1974-11-01,0.562817366,-0.816602667
1974-12-01,0.482906401,-0.814075229
1975-01-01,0.526191507,-0.819207026
1975-02-01,0.502884142,-0.813174142
1975-03-01,0.686013437,-0.804888542
1975-04-01,0.785902143,-0.800844642
1975-05-01,0.696002308,-0.799811689
1975-06-01,0.669365319,-0.793899682
1975-07-01,0.749276284,-0.791372245
1975-08-01,0.755935531,-0.791273345
1975-09-01,0.842505743,-0.798723792
1975-10-01,0.652717202,-0.799866633
1975-11-01,0.729298543,-0.795580978
1975-12-01,0.602772848,-0.793932649
1976-01-01,0.616091343,-0.795438123
1976-02-01,0.606102472,-0.786471213
1976-03-01,0.569476613,-0.78236138
1976-04-01,0.572806237,-0.781811937
1976-05-01,0.669365319,-0.780932828
1976-06-01,0.636069084,-0.781702048
1976-07-01,0.636069084,-0.781042717
1976-08-01,0.569476613,-0.77840539
1976-09-01,0.532850754,-0.779394388
1976-10-01,0.489565648,-0.776976839
1976-11-01,0.353051083,-0.780932828
1976-12-01,0.286458612,-0.781702048
1977-01-01,0.482906401,-0.777855947
1977-02-01,0.499554519,-0.778844945
1977-03-01,0.489565648,-0.781921825
1977-04-01,0.499554519,-0.78236138
1977-05-01,0.476247154,-0.784064653
1977-06-01,0.41631393,-0.78438333
1977-07-01,0.489565648,-0.78380092
1977-08-01,0.442950918,-0.782800934
1977-09-01,0.486236024,-0.785493205
1977-10-01,0.556158119,-0.787163511
1977-11-01,0.532850754,-0.789899738
1977-12-01,0.609432096,-0.789306339
1978-01-01,0.662706072,-0.789811827
1978-02-01,0.696002308,-0.79373485
1978-03-01,0.732628167,-0.795130435
1978-04-01,0.762594778,-0.795306256
1978-05-01,0.822528002,-0.79103159
1978-06-01,0.889120473,-0.785866826
1978-07-01,0.869142732,-0.785592105
1978-08-01,0.812539132,-0.786108581
1978-09-01,0.869142732,-0.778735056
1978-10-01,1.002327673,-0.778735056
1978-11-01,0.969031438,-0.78236138
1978-12-01,1.065590521,-0.788833818
1979-01-01,0.99899805,-0.787295378
1979-02-01,1.072249768,-0.783339388
1979-03-01,1.052272026,-0.78496574
1979-04-01,1.132182991,-0.782910823
1979-05-01,1.035623909,-0.780713051
1979-06-01,0.95238332,-0.783317411
1979-07-01,1.018975791,-0.781152605
1979-08-01,1.095557133,-0.780053719
1979-09-01,1.162149603,-0.774888955
1979-10-01,1.588341417,-0.773570292
1979-11-01,1.475134216,-0.778075724
1979-12-01,1.458486099,-0.778954833
1980-01-01,1.724855982,-0.774449401
1980-02-01,2.254266125,-0.771042854
1980-03-01,2.227629137,-0.766207756
1980-04-01,1.601659911,-0.777855947
1980-05-01,1.43184911,-0.779724053
1980-06-01,1.378575134,-0.774559289
1980-07-01,1.601659911,-0.766976976
1980-08-01,1.864700171,-0.761262769
1980-09-01,1.9679185,-0.757196891
1980-10-01,2.167695913,-0.753900233
1980-11-01,2.254266125,-0.749834355
1980-12-01,2.157707042,-0.743790482
1981-01-01,2.240947631,-0.746208031
1981-02-01,2.490669396,-0.746757474
1981-03-01,2.39078069,-0.75181235
1981-04-01,2.717083797,-0.746537697
1981-05-01,2.513976761,-0.745219034
1981-06-01,2.633843209,-0.748186026
1981-07-01,2.903542715,-0.747526695
1981-08-01,3.149934857,-0.75104313
1981-09-01,3.29310867,-0.750493687
1981-10-01,2.890224221,-0.762911098
1981-11-01,2.39078069,-0.761262769
1981-12-01,2.673798691,-0.757856223
1982-01-01,2.727072668,-0.756867225
1982-02-01,2.690446809,-0.764009984
1982-03-01,2.740391162,-0.767086865
1982-04-01,2.637172832,-0.771152743
1982-05-01,2.583898855,-0.76510887
1982-06-01,2.826961374,-0.764998981
1982-07-01,2.573909985,-0.772361517
1982-08-01,2.284232737,-0.772691183
1982-09-01,1.924633394,-0.772361517
1982-10-01,1.585011793,-0.758405666
1982-11-01,1.611648781,-0.74708714
1982-12-01,1.468474969,-0.741153156
1983-01-01,1.614978405,-0.739724604
1983-02-01,1.438508357,-0.734340063
1983-03-01,1.555045181,-0.731592848
1983-04-01,1.438508357,-0.72598853
1983-05-01,1.618308028,-0.719614991
1983-06-01,1.668252382,-0.712582121
1983-07-01,1.934622265,-0.710054683
1983-08-01,2.007873983,-0.709395351
1983-09-01,1.828074312,-0.714450227
1983-10-01,1.927963018,-0.709175574
1983-11-01,1.891337159,-0.708626131
1983-12-01,1.954600006,-0.711373346
1984-01-01,1.904655653,-0.712252455
1984-02-01,2.027851724,-0.710054683
1984-03-01,2.191003278,-0.720054545
1984-04-01,2.28756236,-0.719944657
1984-05-01,2.650491326,-0.71972488
1984-06-01,2.627183961,-0.720823765
1984-07-01,2.317528972,-0.724669866
1984-08-01,2.27757349,-0.726867638
1984-09-01,2.171025536,-0.712252455
1984-10-01,1.944611136,-0.710384349
1984-11-01,1.874689041,-0.711812901
1984-12-01,1.864700171,-0.710164572
1985-01-01,1.738174476,-0.712142566
1985-02-01,1.984566618,-0.704340476
1985-03-01,1.897996406,-0.694120836
1985-04-01,1.818085441,-0.695769165
1985-05-01,1.441837981,-0.694450502
1985-06-01,1.43184911,-0.689725293
1985-07-01,1.538397064,-0.685329749
1985-08-01,1.441837981,-0.681373759
1985-09-01,1.451826851,-0.68598908
1985-10-01,1.351938145,-0.690604401
1985-11-01,1.212093956,-0.688296741
1985-12-01,1.015646168,-0.675879329
1986-01-01,1.042283156,-0.665110247
1986-02-01,0.725968919,-0.664121249
1986-03-01,0.479576777,-0.651813727
1986-04-01,0.476247154,-0.637638098
1986-05-01,0.699331931,-0.631374448
1986-06-01,0.466258283,-0.630825005
1986-07-01,0.46292866,-0.62335258
1986-08-01,0.333073342,-0.628956898
1986-09-01,0.499554519,-0.623682246
1986-10-01,0.46292866,-0.631044782
1986-11-01,0.399665812,-0.632033779
1986-12-01,0.426302801,-0.623572357
1987-01-01,0.409654683,-0.619726256
1987-02-01,0.412984307,-0.602253969
1987-03-01,0.51953226,-0.58423224
1987-04-01,0.752605908,-0.571485162
1987-05-01,0.845835367,-0.575001597
1987-06-01,0.809209508,-0.575221375
1987-07-01,0.902438967,-0.561705077
1987-08-01,1.015646168,-0.552144769
1987-09-01,1.225412451,-0.53093627
1987-10-01,0.975690685,-0.54269435
1987-11-01,1.012316544,-0.58500146
1987-12-01,0.959042567,-0.623682246
1988-01-01,0.769254025,-0.62807779
1988-02-01,0.73595779,-0.617638373
1988-03-01,0.872472355,-0.60928684
1988-04-01,0.972361061,-0.600935306
1988-05-01,1.082238638,-0.604341853
1988-06-01,0.955712944,-0.611484612
1988-07-01,1.05560165,-0.595440876
1988-08-01,1.098886756,-0.597199094
1988-09-01,0.972361061,-0.603133078
1988-10-01,0.899109344,-0.598407869
1988-11-01,1.035623909,-0.58807834
1988-12-01,1.062260897,-0.595111211
1989-01-01,1.018975791,-0.589067338
1989-02-01,1.122194121,-0.579287253
1989-03-01,1.115534874,-0.569836833
1989-04-01,1.022305415,-0.571265385
1989-05-01,0.882461226,-0.56071608
1989-06-01,0.715980049,-0.547969003
1989-07-01,0.62275059,-0.53719992
1989-08-01,0.769254025,-0.528189055
1989-09-01,0.785902143,-0.512035431
1989-10-01,0.656046825,-0.511266211
1989-11-01,0.629409837,-0.511156323
1989-12-01,0.659376449,-0.519068302
1990-01-01,0.825857626,-0.509837659
1990-02-01,0.852494614,-0.519321045
1990-03-01,0.899109344,-0.52978244
1990-04-01,1.028964662,-0.520980363
1990-05-01,0.882461226,-0.521288051
1990-06-01,0.825857626,-0.508024498
1990-07-01,0.802550261,-0.496881794
1990-08-01,0.969031438,-0.497277393
1990-09-01,0.955712944,-0.529452774
1990-10-01,0.899109344,-0.546309685
1990-11-01,0.769254025,-0.555419449
1990-12-01,0.709320802,-0.546441551
1991-01-01,0.692672684,-0.531650546
1991-02-01,0.68934306,-0.535232914
1991-03-01,0.699331931,-0.494826877
1991-04-01,0.68934306,-0.48381604
1991-05-01,0.702661555,-0.475684284
1991-06-01,0.762594778,-0.477541401
1991-07-01,0.749276284,-0.477211735
1991-08-01,0.62275059,-0.475079896
1991-09-01,0.506213766,-0.465003112
